ID,Tipo de empresa,Fundação da empresa,Possui mais de um sócio,Funcionários,Meses de permanência ,Utiliza serviços financeiros,PossuiContador,Faz conciliação bancária,Frequência de utilização de feature do sistema: Módulo financeiro,Frequência de utilização de feature do sistema: Emissão de nota fiscal,Frequência de utilização de feature do sistema: Integração bancária,Frequência de utilização de feature do sistema: Módulo de vendas,Frequência de utilização de feature do sistema: Relatórios,Frequência de utilização de feature do sistema: Utilização de APIs de integração,Contrato,Emite boletos,Emite boletos.1,Tipo de pagamento,Receita mensal,Receita total,Churn,mes_churn
16,Micro empresa,2019,Sim,6 ou mais funcionários,69,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,No,Cartão de crédito - mês a mês,113.25,7895.15,Não,
17,Micro empresa,2017,Não,até 5 funcionários,52,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,No,Boleto - mês a mês,20.65,1022.95,Não,
18,Pequena empresa,2017,Não,6 ou mais funcionários,71,Sim,Sim,manual,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Anual,0,No,Cartão de crédito - pagamento único,106.7,7382.25,Não,
20,Micro empresa,2016,Não,até 5 funcionários,21,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,90.05,1862.9,Não,
22,Pequena empresa,2021,Sim,até 5 funcionários,12,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,No,Cartão de crédito - pagamento único,19.8,202.25,Não,
24,Micro empresa,2019,Sim,até 5 funcionários,58,Sim,Sim,automática,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,59.9,3505.1,Não,
25,Pequena empresa,2016,Sim,6 ou mais funcionários,49,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,No,Cartão de crédito - mês a mês,59.6,2970.3,Não,
26,Micro empresa,2021,Não,até 5 funcionários,30,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,55.3,1530.6,Não,
29,Pequena empresa,2016,Sim,até 5 funcionários,72,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - mês a mês,90.25,6369.45,Não,
31,Micro empresa,2008,Sim,até 5 funcionários,71,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,96.35,6766.95,Não,
32,Pequena empresa,2005,Sim,até 5 funcionários,2,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,95.5,181.65,Não,
33,Micro empresa,2020,Sim,6 ou mais funcionários,27,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Trimestral,0,No,Boleto - mês a mês,66.15,1874.45,Não,
34,Pequena empresa,2018,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Cartão de crédito - pagamento único,20.2,20.2,Não,
35,Pequena empresa,2004,Não,até 5 funcionários,1,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Cartão de crédito - pagamento único,45.25,45.25,Não,
36,Micro empresa,2019,Sim,6 ou mais funcionários,72,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Anual,0,No,Cartão de crédito - pagamento único,99.9,7251.7,Não,
38,Micro empresa,2021,Não,até 5 funcionários,46,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,74.8,3548.3,Não,
41,Pequena empresa,2021,Sim,6 ou mais funcionários,10,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Trimestral,0,No,Boleto - mês a mês,49.55,475.7,Não,
42,Micro empresa,2018,Sim,6 ou mais funcionários,70,Sim,Sim,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,69.2,4872.35,Não,
43,Micro empresa,2019,Sim,6 ou mais funcionários,17,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,No,Boleto - mês a mês,20.75,418.25,Não,
44,Micro empresa,2016,Não,até 5 funcionários,63,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,79.85,4861.45,Não,
45,Micro empresa,2019,Sim,até 5 funcionários,13,Sim,Sim,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,76.2,981.45,Não,
46,Micro empresa,2016,Não,até 5 funcionários,49,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,84.5,3906.7,Não,
47,Pequena empresa,2017,Não,até 5 funcionários,2,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - mês a mês,49.25,97.0,Não,
49,Pequena empresa,2021,Não,até 5 funcionários,52,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - mês a mês,79.75,4217.8,Não,
50,Micro empresa,2019,Sim,6 ou mais funcionários,69,Sim,Sim,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,64.15,4254.1,Não,
51,Micro empresa,2011,Não,até 5 funcionários,43,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,90.25,3838.75,Não,
53,Micro empresa,2007,Sim,até 5 funcionários,25,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,69.5,1752.65,Não,
55,Micro empresa,2004,Sim,6 ou mais funcionários,60,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Trimestral,1,Yes,Cartão de crédito - mês a mês,74.85,4456.35,Não,
57,Micro empresa,2019,Sim,6 ou mais funcionários,63,Sim,Sim,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Yes,Cartão de crédito - mês a mês,99.65,6311.2,Não,
58,Pequena empresa,2001,Sim,6 ou mais funcionários,66,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Trimestral,1,Yes,Boleto - pagamento único,108.45,7076.35,Não,
59,Micro empresa,2019,Sim,6 ou mais funcionários,34,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - mês a mês,24.95,894.3,Não,
60,Micro empresa,2021,Não,até 5 funcionários,72,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - mês a mês,107.5,7853.7,Não,
61,Micro empresa,2018,Sim,até 5 funcionários,47,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,100.5,4707.1,Não,
62,Pequena empresa,2019,Não,até 5 funcionários,60,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,89.9,5450.7,Não,
63,Pequena empresa,2021,Sim,até 5 funcionários,72,Não,,automática,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Anual,0,No,Cartão de crédito - pagamento único,42.1,2962.0,Não,
64,Micro empresa,2020,Sim,6 ou mais funcionários,18,Sim,Não ,automática,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Yes,Cartão de crédito - mês a mês,54.4,957.1,Não,
66,Micro empresa,2016,Não,até 5 funcionários,3,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,75.3,244.1,Não,
67,Pequena empresa,2019,Sim,até 5 funcionários,47,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Trimestral,1,Yes,Boleto - pagamento único,78.9,3650.35,Não,
68,Micro empresa,2016,Não,até 5 funcionários,31,Sim,Não ,automática,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,No,Boleto - mês a mês,79.2,2497.2,Não,
69,Micro empresa,2019,Sim,6 ou mais funcionários,50,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - pagamento único,20.15,930.9,Não,
70,Pequena empresa,2017,Não,até 5 funcionários,10,Sim,Não ,manual,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,79.85,887.35,Não,
71,Pequena empresa,2021,Não,até 5 funcionários,1,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - mês a mês,49.05,49.05,Não,
72,Micro empresa,2017,Sim,6 ou mais funcionários,52,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,1,Yes,Boleto - pagamento único,20.4,1090.65,Não,
73,Pequena empresa,2009,Sim,6 ou mais funcionários,64,Sim,Sim,manual,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - pagamento único,111.6,7099.0,Não,
74,Pequena empresa,2018,Sim,6 ou mais funcionários,62,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Cartão de crédito - pagamento único,24.25,1424.6,Não,
75,Micro empresa,2021,Não,6 ou mais funcionários,3,Sim,Não ,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,64.5,177.4,Não,
76,Micro empresa,2007,Não,até 5 funcionários,56,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,0,No,Boleto - pagamento único,110.5,6139.5,Não,
77,Micro empresa,2020,Não,até 5 funcionários,46,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Trimestral,0,No,Cartão de crédito - mês a mês,55.65,2688.85,Não,
78,Micro empresa,2020,Sim,6 ou mais funcionários,8,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - mês a mês,54.65,482.25,Não,
79,Pequena empresa,2008,Não,até 5 funcionários,30,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,74.75,2111.3,Não,
80,Micro empresa,2020,Sim,6 ou mais funcionários,45,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,1,Yes,Cartão de crédito - mês a mês,25.9,1216.6,Não,
82,Micro empresa,2020,Sim,6 ou mais funcionários,11,Não,,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,0,No,Boleto - pagamento único,50.55,565.35,Não,
84,Micro empresa,2020,Não,até 5 funcionários,42,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,103.8,4327.5,Não,
85,Micro empresa,2016,Sim,até 5 funcionários,49,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Cartão de crédito - pagamento único,20.15,973.35,Não,
86,Pequena empresa,2017,Não,até 5 funcionários,9,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,99.3,918.75,Não,
87,Micro empresa,2020,Sim,até 5 funcionários,35,Sim,Não ,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Trimestral,1,Yes,Cartão de crédito - pagamento único,62.15,2215.45,Não,
88,Micro empresa,2017,Sim,6 ou mais funcionários,48,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - pagamento único,20.65,1057.0,Não,
89,Micro empresa,2016,Sim,6 ou mais funcionários,46,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Boleto - mês a mês,19.95,927.1,Não,
90,Pequena empresa,2018,Sim,até 5 funcionários,29,Não,,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,0,No,Boleto - mês a mês,33.75,1009.25,Não,
91,Pequena empresa,2021,Sim,6 ou mais funcionários,30,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Cartão de crédito - pagamento único,82.05,2570.2,Não,
92,Pequena empresa,2013,Não,até 5 funcionários,1,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,74.7,74.7,Não,
93,Pequena empresa,2016,Sim,6 ou mais funcionários,66,Sim,Sim,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Boleto - mês a mês,84.0,5714.25,Não,
94,Micro empresa,2018,Não,até 5 funcionários,65,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,111.05,7107.0,Não,
95,Pequena empresa,2017,Não,até 5 funcionários,72,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - pagamento único,100.9,7459.05,Não,
97,Pequena empresa,2020,Sim,6 ou mais funcionários,71,Sim,Sim,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Yes,Cartão de crédito - mês a mês,66.85,4748.7,Não,
99,Pequena empresa,2016,Não,até 5 funcionários,52,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - pagamento único,21.0,1107.2,Não,
101,Pequena empresa,2021,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,20.2,20.2,Não,
102,Micro empresa,2016,Sim,6 ou mais funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - pagamento único,19.45,19.45,Não,
103,Pequena empresa,2018,Não,até 5 funcionários,38,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Trimestral,0,No,Cartão de crédito - pagamento único,95.0,3605.6,Não,
104,Micro empresa,2012,Sim,até 5 funcionários,66,Não,,automática,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Trimestral,0,No,Cartão de crédito - pagamento único,45.55,3027.25,Não,
106,Pequena empresa,2017,Não,até 5 funcionários,5,Não,,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - mês a mês,24.3,100.2,Não,
107,Micro empresa,2018,Sim,6 ou mais funcionários,72,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Yes,Boleto - pagamento único,104.15,7303.05,Não,
108,Micro empresa,2018,Não,até 5 funcionários,32,Não,,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Trimestral,0,No,Boleto - mês a mês,30.15,927.65,Não,
109,Pequena empresa,2017,Não,até 5 funcionários,43,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,0,No,Boleto - mês a mês,94.35,3921.3,Não,
110,Pequena empresa,2018,Sim,6 ou mais funcionários,72,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - mês a mês,19.4,1363.25,Não,
112,Micro empresa,2017,Não,até 5 funcionários,52,Sim,Não ,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Trimestral,0,No,Cartão de crédito - mês a mês,57.95,3042.25,Não,
113,Micro empresa,2021,Não,até 5 funcionários,43,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,91.65,3954.1,Não,
115,Micro empresa,2018,Sim,6 ou mais funcionários,64,Não,,automática,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Boleto - pagamento único,54.6,3423.5,Não,
116,Pequena empresa,2019,Sim,6 ou mais funcionários,3,Sim,Não ,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,89.85,248.4,Não,
117,Micro empresa,2019,Não,até 5 funcionários,36,Não,,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Anual,0,No,Cartão de crédito - pagamento único,31.05,1126.35,Não,
119,Micro empresa,2020,Não,até 5 funcionários,41,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Boleto - mês a mês,20.65,835.15,Não,
120,Pequena empresa,2017,Sim,6 ou mais funcionários,27,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,85.2,2151.6,Não,
121,Micro empresa,2020,Sim,6 ou mais funcionários,56,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Yes,Cartão de crédito - mês a mês,99.8,5515.45,Não,
122,Micro empresa,2018,Não,até 5 funcionários,6,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,20.7,112.75,Não,
124,Micro empresa,2017,Sim,6 ou mais funcionários,7,Sim,Não ,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - mês a mês,50.7,350.35,Não,
125,Micro empresa,2018,Sim,6 ou mais funcionários,4,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,20.85,62.9,Não,
126,Pequena empresa,2017,Não,até 5 funcionários,33,Sim,Não ,manual,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Anual,1,Yes,Boleto - pagamento único,88.95,3027.65,Não,
128,Pequena empresa,2020,Sim,até 5 funcionários,72,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Cartão de crédito - pagamento único,23.55,1723.95,Não,
129,Pequena empresa,2021,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,19.75,19.75,Não,
130,Pequena empresa,2014,Não,até 5 funcionários,71,Não,,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Yes,Boleto - pagamento único,56.45,3985.35,Não,
131,Micro empresa,2020,Não,até 5 funcionários,13,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,85.95,1215.65,Não,
133,Pequena empresa,2019,Não,até 5 funcionários,67,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Anual,0,No,Cartão de crédito - pagamento único,50.55,3260.1,Não,
136,Micro empresa,2017,Não,até 5 funcionários,43,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Cartão de crédito - mês a mês,25.7,1188.2,Não,
137,Micro empresa,2017,Não,até 5 funcionários,23,Sim,Não ,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,75.0,1778.5,Não,
138,Micro empresa,2016,Sim,6 ou mais funcionários,64,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Boleto - mês a mês,20.2,1277.75,Não,
139,Pequena empresa,2018,Não,6 ou mais funcionários,57,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Boleto - mês a mês,19.6,1170.55,Não,
141,Micro empresa,2006,Sim,6 ou mais funcionários,72,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - mês a mês,88.05,6425.65,Não,
143,Micro empresa,2020,Sim,até 5 funcionários,61,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - pagamento único,101.05,5971.25,Não,
144,Pequena empresa,2018,Não,até 5 funcionários,64,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Trimestral,1,Yes,Cartão de crédito - mês a mês,84.3,5289.05,Não,
145,Pequena empresa,2001,Sim,até 5 funcionários,71,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - pagamento único,23.95,1756.2,Não,
146,Micro empresa,2020,Sim,6 ou mais funcionários,65,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,99.05,6416.7,Não,
